"Catalan Proverb","English Translation","Sentiment"
"A qui madruga, Déu l'ajuda.","God helps those who rise early.","Positive"
"Qui no plora, no mama.","He who doesn't cry, doesn't suckle.","Negative"
"De mica en mica s'omple la pica.","Little by little, the sink fills.","Neutral"
"No es pot tenir el cistell ple i la panxa buida.","You can't have a full basket and an empty stomach.","Negative"
"A qui poc li costa, poc li val.","What costs little is worth little.","Negative"
"L'home proposa i Déu disposa.","Man proposes, God disposes.","Neutral"
"Qui no arrisca no guanya.","Who does not risk, does not win.","Positive"
"A l'arbre caigut tots hi fan llenya.","When the tree falls, everyone makes firewood.","Negative"
"D'on no n'hi ha, no en raja.","Where there is nothing, nothing flows.","Neutral"
"Aigua passada no mou molí.","Water that has passed doesn't turn the mill.","Neutral"
"Cadascú al seu lloc i el món anirà bé.","Everyone in their place, and the world will go well.","Positive"
"Les paraules se les emporta el vent.","Words are carried away by the wind.","Negative"
"Més val un ocell a la mà que cent volant.","A bird in the hand is worth more than a hundred flying.","Positive"
"Què volen que els faci? Un miracle?","What do they want me to do? A miracle?","Neutral"
"Fins a la vaca vella li arriba el moment de la veritat.","Even the old cow has its moment of truth.","Neutral"
"No es pot viure amb el cor al puny.","One cannot live with the heart in pain.","Negative"
"Fent un pas es fa el camí.","By taking a step, the way is made.","Positive"
"La roba bruta es renta a casa.","Dirty laundry is washed at home.","Negative"
"Qui té boca, té pota.","He who has a mouth, has a foot (talks too much).","Negative"
"A la taula i al llit, al primer crit.","To the table and to bed at the first call.","Neutral"
"El sol brilla per tothom.","The sun shines for everyone.","Positive"
"Mai és tard per començar.","It is never too late to start.","Positive"
"Qui diu que pot, no pot; qui diu que no pot, pot.","He who says he can, cannot; he who says he cannot, can.","Neutral"
"Tota pedra fa paret.","Every stone builds the wall.","Neutral"
"Un crit a temps, val més que un milió de paraules.","A cry in time is worth more than a million words.","Positive"
"No hi ha mal que per bé no vingui.","Every cloud has a silver lining.","Positive"
"Si un no vol, dos no barallen.","If one doesn't want, two don't fight.","Positive"
"De tant voler-ho tot, se'n perd el millor.","By wanting everything, the best is lost.","Negative"
"A cavall regalat no se li mira la dentadura.","Don't look a gift horse in the mouth.","Neutral"
"Els temps són dolents, però n'hi ha que són pitjors.","Times are bad, but some are worse.","Negative"
"Mai plou a gust de tothom.","It never rains to everyone's liking.","Neutral"
"Quan el riu sona, aigua porta.","When the river sounds, it carries water.","Neutral"
"Qui té boca, que parli.","He who has a mouth, let him speak.","Neutral"
"Més val no prometre que no poder complir.","Better not to promise than to fail to deliver.","Neutral"
"A cada porc li arriba el seu Sant Martí.","Every pig has its Saint Martin.","Neutral"
"Fins el riu més tranquil pot portar una corrent forta.","Even the calmest river can carry a strong current.","Neutral"
"Una mentida dita a temps salva mil veritats.","A lie told in time saves a thousand truths.","Negative"
"Quan la poma cau, l’arbre no s’ensenya.","When the apple falls, the tree doesn't teach.","Neutral"
